text,processed_text,target
omg i got a explosion of new followers hello new followers,omg i got a explosion of new followers hello new followers,neutral
been i while since i ve been on bogged under with exams eugh at least there is only left britains got talent,been i while since i ve been on bogged under with exams eugh at least there is only left britains got talent,neutral
i am talkin on da phone and typin at da same time,i am talkin on da phone and typin at da same time,neutral
no where to go,no where to go,negative
i really should be studying i ll start soon,i really should be studying i ll start soon,negative
more to thank for ff shouts and heaps more sry will be here all night i now realis,more to thank for ff shouts and heaps more sry will be here all night i now realis,neutral
bored,bored,negative
i miss yo,i miss yo,negative
it s raining that fine rain,it s raining that fine rain,positive
sorry missed your post earlier about edinburgh i am biased towards its awesomeness glad you enjoyed your visit,sorry missed your post earlier about edinburgh i am biased towards its awesomeness glad you enjoyed your visit,neutral
i do not want you to go to india,i do not want you to go to india,neutral
why the hell did i leave kilkenny,why the hell did i leave kilkenny,negative
lol oh man can i something haha i mean my lean mean fighting machine i sooo can t believe you called me out,lol oh man can i something haha i mean my lean mean fighting machine i sooo can t believe you called me out,neutral
dummyhead,dummyhead,negative
ok so any ideas of what to do tomorrow to make it fun because i do not know what to do,ok so any ideas of what to do tomorrow to make it fun because i do not know what to do,neutral
i m going to obu for the night,i m going to obu for the night,neutral
awesome,awesome,positive
when are you going to host saturday night live i ve been waiting for like yearsssssss,when are you going to host saturday night live i ve been waiting for like yearsssssss,neutral
no it doesn t sheesh,no it doesn t sheesh,neutral
forensic mein kya hai bas rat te jaao and micro havin a micro exam soon the lab diagnosis of all d individual bacteria,forensic mein kya hai bas rat te jaao and micro havin a micro exam soon the lab diagnosis of all d individual bacteria,neutral
michele but sometimes not having to say nice things all the time is kind of fun teehee and now i ll put this back on as well halo,michele but sometimes not having to say nice things all the time is kind of fun teehee and now i ll put this back on as well halo,neutral
i ll save you,i ll save you,neutral
just got home from drews birthday,just got home from drews birthday,neutral
think this ll be a good place for my rants,think this ll be a good place for my rants,positive
proud,proud,positive
i am currently doing a few posts on my business blog check it out if you like it,i am currently doing a few posts on my business blog check it out if you like it,neutral
you need to follow me so i could send you a direct message,you need to follow me so i could send you a direct message,neutral
what was said,what was said,neutral
brazil looooooooves you,brazil looooooooves you,positive
,,positive
i tell him today s it s his last day,i tell him today s it s his last day,neutral
oh well i ve never seen him do anything before so i m not going to say anything,oh well i ve never seen him do anything before so i m not going to say anything,neutral
chillin with the rents and looking at hilarious old photos well funny,chillin with the rents and looking at hilarious old photos well funny,positive
annoyed cos this weekend s going to be hot i m bloody working,annoyed cos this weekend s going to be hot i m bloody working,negative
yeah ill make sure i keep you updated i get it all delivered,yeah ill make sure i keep you updated i get it all delivered,neutral
we love you too,we love you too,positive
glad,glad,positive
cleaning cleaning cleaning today then working out i love not working,cleaning cleaning cleaning today then working out i love not working,neutral
t the sad thing is,t the sad thing is,negative
ouch my earphones just shocked me,ouch my earphones just shocked me,negative
m very out of shape,m very out of shape,negative
se none of my friends liking,se none of my friends liking,negative
poor baby girl chloe is freaking out because of all of the noise she so cute and pitiful hiding under the middle of the table,poor baby girl chloe is freaking out because of all of the noise she so cute and pitiful hiding under the middle of the table,neutral
e discriminating,e discriminating,negative
would you believe that i m done with homework for the rest of my life,would you believe that i m done with homework for the rest of my life,neutral
there s just something about a sexy blonde rubbing herself in a field,there s just something about a sexy blonde rubbing herself in a field,neutral
love,love,positive
sad,sad,negative
g its so not cool that is why tapes were better,g its so not cool that is why tapes were better,neutral
i miss you too,i miss you too,negative
law and order yeah i stay home on sat nite,law and order yeah i stay home on sat nite,neutral
nice find,nice find,positive
an incredibly great day hahaha,an incredibly great day hahaha,positive
awww thank you,awww thank you,positive
i did dat time my boss text me saying me n my office after dis tweeting is ova i have not dun it since,i did dat time my boss text me saying me n my office after dis tweeting is ova i have not dun it since,neutral
roughnight,roughnight,negative
excited,excited,positive
i love it wh,i love it wh,positive
i will,i will,positive
rainy day is rainy,rainy day is rainy,neutral
i loved it you re amazing,i loved it you re amazing,positive
i don t know how you do it,i don t know how you do it,neutral
excellent idea,excellent idea,positive
finally feels like a nice summer day and i m feeling sick,finally feels like a nice summer day and i m feeling sick,neutral
happy,happy,positive
listening to yultron,listening to yultron,neutral
no i m not going,no i m not going,neutral
appreciate their wives,appreciate their wives,positive
chapter probably on monday i still need more comments,chapter probably on monday i still need more comments,neutral
actually i think the na release date was confirmed for september so it s a bit more of a wait,actually i think the na release date was confirmed for september so it s a bit more of a wait,neutral
hope so,hope so,positive
i tried calling work times and they will not answer,i tried calling work times and they will not answer,negative
i m tired exhausted and dissapointed,i m tired exhausted and dissapointed,negative
best ja,best ja,positive
wants somebody to cheer her up,wants somebody to cheer her up,positive
wonderful,wonderful,positive
kick her,kick her,negative
aww thanks,aww thanks,positive
i empathise luvvie i do not personally understand a grown mans need to dress in tartan in search for a little white ball,i empathise luvvie i do not personally understand a grown mans need to dress in tartan in search for a little white ball,neutral
nice,nice,positive
brain just went blank,brain just went blank,negative
going to see angels and demons tonight it better not scare me,going to see angels and demons tonight it better not scare me,neutral
it will give me lulz from time to time,it will give me lulz from time to time,neutral
getting up,getting up,negative
not good,not good,negative
user well yes lol i had a chat with them earlier there just not willing to learn anything else,user well yes lol i had a chat with them earlier there just not willing to learn anything else,neutral
the video is private i can not see it,the video is private i can not see it,neutral
wow slept in with no dolidh here to wake me up,wow slept in with no dolidh here to wake me up,neutral
i met him hes from where i live he goes clubbing the same places lol i do not get twittter,i met him hes from where i live he goes clubbing the same places lol i do not get twittter,neutral
major iphone problems will not let me send texts but i can do everything else can anyone help,major iphone problems will not let me send texts but i can do everything else can anyone help,neutral
my music collection will be coming up to gb soon haha,my music collection will be coming up to gb soon haha,neutral
it depress,it depress,positive
yeah yeah less degenerate than current occupants of house of reprehensibles you can bet on that like minethatbird,yeah yeah less degenerate than current occupants of house of reprehensibles you can bet on that like minethatbird,neutral
this time i lost my wallet,this time i lost my wallet,negative
thanks,thanks,positive
you so funny but you right i like bsb but i am not as fan than you i love much better tupac tlc bad they re not singing anymore,you so funny but you right i like bsb but i am not as fan than you i love much better tupac tlc bad they re not singing anymore,neutral
just making sure,just making sure,positive
can t seem to find the new mountain dew throwback in packs only in liter bottles,can t seem to find the new mountain dew throwback in packs only in liter bottles,neutral
down,down,negative
cooler,cooler,positive
female and male year old labs looking for new home family is loosing their home both must stay together contact me if interested,female and male year old labs looking for new home family is loosing their home both must stay together contact me if interested,neutral
takin short nap gym and work before kids come back home tonite,takin short nap gym and work before kids come back home tonite,neutral
happy,happy,positive
hate,hate,negative
great,great,positive
sunniest day in ages and i am in bed,sunniest day in ages and i am in bed,neutral
,,negative
pretty bored but i refuse to study,pretty bored but i refuse to study,negative
me too it goes to my phone so all night long sometimes my phone is blowing up so nice to wake up to,me too it goes to my phone so all night long sometimes my phone is blowing up so nice to wake up to,neutral
cute th,cute th,positive
boss just texted me i have the day off yes yes and yes again,boss just texted me i have the day off yes yes and yes again,neutral
sad,sad,negative
unfortunately,unfortunately,negative
lovely,lovely,positive
forgot,forgot,negative
think i picked a bad wknd,think i picked a bad wknd,negative
st day of master cleanse wish me luck,st day of master cleanse wish me luck,neutral
amazing right now,amazing right now,positive
stuck,stuck,negative
m always offtopic and sometimes inappropriate,m always offtopic and sometimes inappropriate,negative
yum,yum,positive
will do i may just have to keep it on my shelf with the rest of my old cameras,will do i may just have to keep it on my shelf with the rest of my old cameras,neutral
i cried like a baby when we had to put our cat down years ago for tears of happiness watch th,i cried like a baby when we had to put our cat down years ago for tears of happiness watch th,positive
hates,hates,negative
excited,excited,positive
sunburn,sunburn,negative
i be ok you,i be ok you,positive
you guys look so nice,you guys look so nice,positive
goodnight,goodnight,positive
while you awake,while you awake,neutral
thanks ugh what a bad bad day i ve had,thanks ugh what a bad bad day i ve had,negative
loveeeee her,loveeeee her,positive
till then ice cream,till then ice cream,neutral
i only get bubble tea during the cambodian new year only once a year when i do i stand in line for over min,i only get bubble tea during the cambodian new year only once a year when i do i stand in line for over min,neutral
better,better,positive
welcome home babe,welcome home babe,positive
oh and i forgot my cell at home thankgod for this crackberry,oh and i forgot my cell at home thankgod for this crackberry,neutral
yard house too packed three people deep at bar went to pf changs got right in,yard house too packed three people deep at bar went to pf changs got right in,neutral
i need a blankie this trains an icebox,i need a blankie this trains an icebox,neutral
i wish i had left dead but first i d need something to play it on,i wish i had left dead but first i d need something to play it on,neutral
that s because ovie is the one man team and when they show pens highlights it s the whole because we have more than superstar,that s because ovie is the one man team and when they show pens highlights it s the whole because we have more than superstar,neutral
awww where d you get that hugh is so thin no traces of being wolverine yet by the way who s that other guy besides rdj,awww where d you get that hugh is so thin no traces of being wolverine yet by the way who s that other guy besides rdj,neutral
pick up that as fast you can,pick up that as fast you can,neutral
trivia working no computer,trivia working no computer,neutral
i knooow i want to sail,i knooow i want to sail,neutral
i need to go to atl mainly just to go to ikea the stuff i want isn t available online,i need to go to atl mainly just to go to ikea the stuff i want isn t available online,neutral
exhausted,exhausted,negative
cancelled,cancelled,negative
will love,will love,positive
ebay mile rule not working for me too many pairs of leather trousers being sold in aberdeen will try next week,ebay mile rule not working for me too many pairs of leather trousers being sold in aberdeen will try next week,neutral
it s not going well,it s not going well,negative
much love to ya,much love to ya,positive
wkds are the worst feel like a hostage,wkds are the worst feel like a hostage,negative
possible case of hn at knox ky note this is for info purposes only so there s still no need to panic,possible case of hn at knox ky note this is for info purposes only so there s still no need to panic,neutral
healthy,healthy,positive
i miss,i miss,negative
i want more followers,i want more followers,neutral
she s my hero and rocks my socks,she s my hero and rocks my socks,positive
he he i will send it thru anurag,he he i will send it thru anurag,neutral
i feel somewhat accomplished,i feel somewhat accomplished,positive
that is awesome the hm was tough for me,that is awesome the hm was tough for me,neutral
that never made it to the uk,that never made it to the uk,negative
wow nice roar i see good things in your future,wow nice roar i see good things in your future,positive
i don t feel so good,i don t feel so good,negative
they certainly warmed mine,they certainly warmed mine,neutral
i really love this picture,i really love this picture,positive
i was at the outlets too,i was at the outlets too,neutral
last night was awesome,last night was awesome,positive
ache,ache,negative
good,good,positive
could be,could be,neutral
god you guys i ll call you guys three way to discuss,god you guys i ll call you guys three way to discuss,neutral
i ma need you to follow me real quick because i can t dm you,i ma need you to follow me real quick because i can t dm you,neutral
i guess it s worth the wait,i guess it s worth the wait,positive
user gets video will start in seconds exiting to watch for minutes flash linux fail,user gets video will start in seconds exiting to watch for minutes flash linux fail,neutral
great,great,positive
funny,funny,positive
lol,lol,positive
mamma who bore me hat es mir echt angetan li gri,mamma who bore me hat es mir echt angetan li gri,neutral
omfg whyyyyyy not that sucks,omfg whyyyyyy not that sucks,negative
aww i hope you find it soon i miss it,aww i hope you find it soon i miss it,positive
b i missed it,b i missed it,negative
interesting,interesting,positive
miss,miss,negative
my boss won t let me leave either,my boss won t let me leave either,negative
i would do a followfriday but everyone on my list is already on everyone elses list so what s the point i m just not popular enough,i would do a followfriday but everyone on my list is already on everyone elses list so what s the point i m just not popular enough,neutral
darn,darn,negative
tweettttt,tweettttt,neutral
i guess i am stuck with this uglyonee,i guess i am stuck with this uglyonee,negative
look at how far away i ve gone locked away in a room trying to work in silence and yet constant emails and i am s persist,look at how far away i ve gone locked away in a room trying to work in silence and yet constant emails and i am s persist,neutral
dammit,dammit,negative
thanks there s a men s version in june it s very popular,thanks there s a men s version in june it s very popular,neutral
sorrry,sorrry,negative
right my fellow fluffy flasher i must go to bed sorry i hope everything is working properly moro and we can chat love you x,right my fellow fluffy flasher i must go to bed sorry i hope everything is working properly moro and we can chat love you x,neutral
good,good,positive
were going to go crazy before you leave,were going to go crazy before you leave,neutral
after years of trying my cat today figured out how to open the cupboard time for a target run to buy safety locks,after years of trying my cat today figured out how to open the cupboard time for a target run to buy safety locks,neutral
hey how are you,hey how are you,neutral
yes yes it is,yes yes it is,neutral
o stop making fun of me,o stop making fun of me,negative
it would be amazing,it would be amazing,positive
good morning tweeple of the sun what you all up to,good morning tweeple of the sun what you all up to,positive
great,great,positive
i have to pee coffee sooo long until break time more letters what to write what to write oh used them all up,i have to pee coffee sooo long until break time more letters what to write what to write oh used them all up,neutral
should be going nfg tonight,should be going nfg tonight,neutral
tired,tired,negative
i called and called i think you should answer more haha,i called and called i think you should answer more haha,neutral
dude i am sleepy and went to bed as soon as i got home whhaacck,dude i am sleepy and went to bed as soon as i got home whhaacck,neutral
lol nah no swine flu for me bro lmao what s you are schedule like this week i need to catch up,lol nah no swine flu for me bro lmao what s you are schedule like this week i need to catch up,neutral
pokes and runs away,pokes and runs away,negative
looks like the gm bankruptcy is going to happen this loss will help offset the gains that i had earlier in the year tax wise oh well,looks like the gm bankruptcy is going to happen this loss will help offset the gains that i had earlier in the year tax wise oh well,negative
e best picturisation ever,e best picturisation ever,positive
simply awesome ra,simply awesome ra,positive
itunes music library is even bipolar,itunes music library is even bipolar,negative
is having a profitable day looking forward to sunday going to be a great day sad too because it s the th graders last day,is having a profitable day looking forward to sunday going to be a great day sad too because it s the th graders last day,neutral
had drums but they where made up of other peoples sets so had to give them all back,had drums but they where made up of other peoples sets so had to give them all back,neutral
yupp t s better than people being rude to her,yupp t s better than people being rude to her,neutral
my first thought too i ve never even watched dragonball,my first thought too i ve never even watched dragonball,neutral
dude i can safely say i was blown away when i heard attics,dude i can safely say i was blown away when i heard attics,positive
sooo i saw robs car drive by but that was about it,sooo i saw robs car drive by but that was about it,neutral
aaaw too bad i m in a good mood to phone with someone lol,aaaw too bad i m in a good mood to phone with someone lol,neutral
heylo johnn i am a huge fan hope you are day is awesomee cuzz i am home sick and its kind of less than awesome anyways peace,heylo johnn i am a huge fan hope you are day is awesomee cuzz i am home sick and its kind of less than awesome anyways peace,neutral
annoyed,annoyed,negative
haha your a loser ily,haha your a loser ily,neutral
i m making a logo on photoshop it didn t work out hehe try again lah,i m making a logo on photoshop it didn t work out hehe try again lah,neutral
cooking brown rice,cooking brown rice,neutral
before you wake we sink ships photography exhibition is online please have a look,before you wake we sink ships photography exhibition is online please have a look,neutral
y didn t want to,y didn t want to,negative
argh interested,argh interested,neutral
as any been up all night like me and now the birds are keeping you awake,as any been up all night like me and now the birds are keeping you awake,neutral
morning how is your day hope you re not another lying in the sun,morning how is your day hope you re not another lying in the sun,neutral
thank you so much for being so kind,thank you so much for being so kind,positive
you both have so beatiful eyes,you both have so beatiful eyes,positive
making an imovie of college,making an imovie of college,neutral
please make the livechat on saturday cus i have to go to school on weekdays am here,please make the livechat on saturday cus i have to go to school on weekdays am here,neutral
just woke up,just woke up,neutral
how can i read the floyd article says it s private,how can i read the floyd article says it s private,neutral
fun,fun,positive
i think it s fun,i think it s fun,positive
happy star wars day,happy star wars day,positive
i d have read it but i m not sure you would have wanted my opinion,i d have read it but i m not sure you would have wanted my opinion,neutral
morning tired should i excercise or jus relax need to catch up on sleep ladies would you like to see shemar moore embassy hit me up,morning tired should i excercise or jus relax need to catch up on sleep ladies would you like to see shemar moore embassy hit me up,neutral
i m so glad my concert is still a week away i m getting so sick and i need the time to recover my lungs hurt so bad right now,i m so glad my concert is still a week away i m getting so sick and i need the time to recover my lungs hurt so bad right now,neutral
,,negative
yay i,yay i,positive
love,love,positive
supposed to be great weather today moro just my luck i am stuck in work both days,supposed to be great weather today moro just my luck i am stuck in work both days,neutral
has no internet for the weekend,has no internet for the weekend,negative
when is your little gingg getting twitter from g j,when is your little gingg getting twitter from g j,neutral
i m going to open up proverbs and get as much wisdom as m hungry,i m going to open up proverbs and get as much wisdom as m hungry,neutral
love,love,positive
good,good,positive
thanks,thanks,positive
,,negative
duhhhhhh,duhhhhhh,negative
,,negative
am i still can not sleep,am i still can not sleep,negative
crappy,crappy,negative
i m all done with my work,i m all done with my work,positive
lol,lol,positive
and why can t toy story come out this june,and why can t toy story come out this june,neutral
been sick,been sick,negative
good,good,positive
i miss you,i miss you,negative
i kno she s disappointed in me,i kno she s disappointed in me,negative
waaah masseuse is fully booked no shoulder rub today,waaah masseuse is fully booked no shoulder rub today,neutral
venti black ice tea with pumps of classic,venti black ice tea with pumps of classic,neutral
d happy mother s day,d happy mother s day,positive
spat,spat,negative
wonderful,wonderful,positive
i have to go to the doctor i don t want to because there i can wait sooo long,i have to go to the doctor i don t want to because there i can wait sooo long,neutral
completely dumb,completely dumb,negative
d i ll never get what i want,d i ll never get what i want,negative
happy,happy,positive
britains got talent just gets better every week,britains got talent just gets better every week,positive
,,positive
out with the guys playing pin doing mexican great combo my bowling was not so good though i blame it on my previous broken arm,out with the guys playing pin doing mexican great combo my bowling was not so good though i blame it on my previous broken arm,neutral
i m sure all will fine and dandy thanks,i m sure all will fine and dandy thanks,positive
it s beautiful outside,it s beautiful outside,positive
aww,aww,negative
oh i am sorry my friend katie i will do our best to keep you cheery,oh i am sorry my friend katie i will do our best to keep you cheery,neutral
he already got a shot at having his own show and didn t prove himself,he already got a shot at having his own show and didn t prove himself,neutral
thankyooooou,thankyooooou,positive
not impressed,not impressed,negative
i miss my doggy my hammy my turtle my fishes,i miss my doggy my hammy my turtle my fishes,negative
this is so exciting,this is so exciting,positive
mymaths time if only i cud read the mind of a nerd durin the exam,mymaths time if only i cud read the mind of a nerd durin the exam,neutral
you are friend sent me,you are friend sent me,neutral
an amazing song,an amazing song,positive
good god no,good god no,negative
have a great summe,have a great summe,positive
ce d grade mock,ce d grade mock,neutral
other people have their glasgow ones standing and seats for all nights,other people have their glasgow ones standing and seats for all nights,neutral
miss,miss,negative
small we can not choose,small we can not choose,neutral
anymore,anymore,neutral
wishing my days off were the same days that people wanted to party,wishing my days off were the same days that people wanted to party,neutral
whar a night woo hoo yeah a beautiful night to party oops i m a stapler,whar a night woo hoo yeah a beautiful night to party oops i m a stapler,neutral
finally home for once after a dope week,finally home for once after a dope week,neutral
off to see the doc in a bit to get the knee checked out,off to see the doc in a bit to get the knee checked out,neutral
lol well no i ve had insomnia since i was since then do not sleep a lot of hours but the ones i do are great,lol well no i ve had insomnia since i was since then do not sleep a lot of hours but the ones i do are great,neutral
just not happening,just not happening,negative
going camping in a coupla hours got to pack everything by myself,going camping in a coupla hours got to pack everything by myself,neutral
got in a fist fight with a old biker guy and how dare you even ask yes i kicked his,got in a fist fight with a old biker guy and how dare you even ask yes i kicked his,negative
i am i won t eat any,i am i won t eat any,neutral
working weekend it looks like,working weekend it looks like,neutral
good,good,positive
time to play,time to play,neutral
he s completely amazing,he s completely amazing,positive
by newark,by newark,neutral
is up for lots of revision today and then out toniight,is up for lots of revision today and then out toniight,neutral
just woke up to a flat tire,just woke up to a flat tire,neutral
currently unemployed,currently unemployed,negative
awww i missed,awww i missed,negative
hey hunny bunny what s a weekend is that like a day off or something,hey hunny bunny what s a weekend is that like a day off or something,neutral
diversity diversity diversity todayyyyyy,diversity diversity diversity todayyyyyy,neutral
glad to hear,glad to hear,positive
,,negative
hope,hope,positive
i m searching too we ll compare notes,i m searching too we ll compare notes,neutral
sorry if i m unsociable i,sorry if i m unsociable i,neutral
why do i always wake up one minute before my alarm is scheduled to go off,why do i always wake up one minute before my alarm is scheduled to go off,neutral
cough star trek cough,cough star trek cough,neutral
hope,hope,positive
hurts,hurts,negative
i chilled in my room with my baby book missed my bro leavin he really is cool had a stripper shirt on said i suppoort single moms funny,i chilled in my room with my baby book missed my bro leavin he really is cool had a stripper shirt on said i suppoort single moms funny,neutral
hahaha,hahaha,positive
you are not lost me i m right here,you are not lost me i m right here,neutral
hope ye got dem you are site is amazing i got on everyday i tryed my own it failed lol,hope ye got dem you are site is amazing i got on everyday i tryed my own it failed lol,neutral
best,best,positive
excited,excited,positive
so much to do,so much to do,negative
on way to the wimbledon with to watch star trek imax baby,on way to the wimbledon with to watch star trek imax baby,neutral
gutted,gutted,negative
ok so this shower has been calling my name for about an hour i think i ll indulge respond now while i allow robin thicke to serenade me,ok so this shower has been calling my name for about an hour i think i ll indulge respond now while i allow robin thicke to serenade me,neutral
the perfect after food,the perfect after food,positive
i m learning to,i m learning to,neutral
i was singing she s not impressed,i was singing she s not impressed,negative
babe i have been aight urselff,babe i have been aight urselff,neutral
at work,at work,neutral
he s pissing me off,he s pissing me off,negative
actually i really do mostly when i forget to take off my makeup before bed,actually i really do mostly when i forget to take off my makeup before bed,neutral
gud nite all,gud nite all,positive
i like,i like,positive
happy,happy,positive
who is lili homie lili and i am black to be exact lol,who is lili homie lili and i am black to be exact lol,neutral
happy,happy,positive
happy,happy,positive
is wishing good night everybody,is wishing good night everybody,positive
did not get it clear,did not get it clear,neutral
y babies r the best,y babies r the best,positive
de wereld need more people like you,de wereld need more people like you,positive
another loser,another loser,negative
look who i brought home,look who i brought home,neutral
h you lack time,h you lack time,negative
not a heap hey just bout tu hit the sack its here i need someone tu cuddle sucks wbu,not a heap hey just bout tu hit the sack its here i need someone tu cuddle sucks wbu,negative
straight you know what the game is and if you ve heard the tracks you ll know why i ve been rocking out,straight you know what the game is and if you ve heard the tracks you ll know why i ve been rocking out,positive
i am hyper i am bored,i am hyper i am bored,negative
popularity contest and they think twitter will help and it s become trendy,popularity contest and they think twitter will help and it s become trendy,neutral
people eight years my junior can t understand most of my references,people eight years my junior can t understand most of my references,neutral
whoops,whoops,negative
in my opinion one gray hair is one too many i have way too many as well,in my opinion one gray hair is one too many i have way too many as well,neutral
graandma s houseee i havee too leave now,graandma s houseee i havee too leave now,negative
interesting,interesting,positive
star trek pretty much rocked my life,star trek pretty much rocked my life,positive
e makes for great entertainment on tv it is great to try and figure out the kill,e makes for great entertainment on tv it is great to try and figure out the kill,positive
my phone is ultra fast now with all the latest firmware updates installed,my phone is ultra fast now with all the latest firmware updates installed,neutral
fun,fun,positive
yes it is nice,yes it is nice,positive
that ll do it too,that ll do it too,neutral
starving,starving,negative
i am goo,i am goo,positive
um why are not episodes of lost season on abc good thing i am going to vegas in the am to keep me distracted from this tragedy,um why are not episodes of lost season on abc good thing i am going to vegas in the am to keep me distracted from this tragedy,neutral
i love kenan,i love kenan,positive
i can t do,i can t do,negative
i should be asleep trying to be,i should be asleep trying to be,neutral
watching hours,watching hours,neutral
wants see my friends,wants see my friends,positive
excited,excited,positive
getting back from show,getting back from show,neutral
the apartment is starting to feel like mine,the apartment is starting to feel like mine,neutral
june gloom is upon us,june gloom is upon us,neutral
ben i love yahh babe i miss you hope to see you tomorrow mommy i love you tomorrow happy mothers day happy mother day to all moms,ben i love yahh babe i miss you hope to see you tomorrow mommy i love you tomorrow happy mothers day happy mother day to all moms,positive
splendid ev,splendid ev,positive
do not undrstand malaysian english tagalog at waray only,do not undrstand malaysian english tagalog at waray only,neutral
you re welcome math is really not my favorite thing but it s also so useful so,you re welcome math is really not my favorite thing but it s also so useful so,neutral
what a great sunday,what a great sunday,positive
apparently today is happy star wars day i m suppose to say may the th be with you,apparently today is happy star wars day i m suppose to say may the th be with you,neutral
sorry if i m confusing anyone i keep forgetting to the desktop twitterific is not so terrific very different from iphone app,sorry if i m confusing anyone i keep forgetting to the desktop twitterific is not so terrific very different from iphone app,neutral
sorry,sorry,negative
awesome,awesome,positive
is back to revision bye bye hannah,is back to revision bye bye hannah,neutral
happy,happy,positive
wrong,wrong,negative
fun times,fun times,positive
you can t even gift money away these days re,you can t even gift money away these days re,neutral
ao s leave me,ao s leave me,negative
won,won,positive
sorry bout day,sorry bout day,negative
trying to figure out how to use this twitter thing hahhh,trying to figure out how to use this twitter thing hahhh,neutral
g thank,g thank,positive
everybody is leaving work early except me,everybody is leaving work early except me,neutral
words later it s bedtime,words later it s bedtime,neutral
enjoyed,enjoyed,positive
good morning it s beautiful here today shame i m going to spend most of the day being an unpaid taxi driver,good morning it s beautiful here today shame i m going to spend most of the day being an unpaid taxi driver,neutral
ill have a photo up tomorrow kay,ill have a photo up tomorrow kay,neutral
bugger that would have been nice but typically we re heading to bristol,bugger that would have been nice but typically we re heading to bristol,neutral
it s all over now now i have to go talk to people in melrose cashier registrar etc all those unfun places,it s all over now now i have to go talk to people in melrose cashier registrar etc all those unfun places,neutral
wathing dollhouse on hulu eating the special from el taquito and a beer week is going well,wathing dollhouse on hulu eating the special from el taquito and a beer week is going well,positive
omg i am so sorry sorry,omg i am so sorry sorry,negative
i used to have nkotb sleeping bag too i don t know where it is now,i used to have nkotb sleeping bag too i don t know where it is now,neutral
thanks yes a lot,thanks yes a lot,positive
you can be cinderelliiee,you can be cinderelliiee,neutral
happy,happy,positive
good to be back go to the junction with the coolest people at ollies,good to be back go to the junction with the coolest people at ollies,positive
go to the setting on the home screen scroll to the bottom you will find twitterfon settings,go to the setting on the home screen scroll to the bottom you will find twitterfon settings,neutral
aw what about me,aw what about me,neutral
i m on relapse mom and dad i need you jesus christ you stay away,i m on relapse mom and dad i need you jesus christ you stay away,neutral
bad,bad,negative
fail,fail,negative
sorry hear albert is not well do not know whole story so i ll keep ya ll both in my prayers hugs you both,sorry hear albert is not well do not know whole story so i ll keep ya ll both in my prayers hugs you both,neutral
camera died right at that moment,camera died right at that moment,negative
funny,funny,positive
yes but now i m not going to be paid to be in the pub,yes but now i m not going to be paid to be in the pub,neutral
omgosh i just saw hattie wake up must be summer when your garden hedgehog comes out of hibernation,omgosh i just saw hattie wake up must be summer when your garden hedgehog comes out of hibernation,neutral
fun,fun,positive
in days i d need to wait for a formal invitation to speak on edu from,in days i d need to wait for a formal invitation to speak on edu from,neutral
opps try that again the keyboard is all back to front mac to pc and back madness really chef,opps try that again the keyboard is all back to front mac to pc and back madness really chef,neutral
summer is really ending it s raining,summer is really ending it s raining,neutral
i kind of miss my old phone already,i kind of miss my old phone already,negative
recovering from my crazy family i love them but they ain t got it all i only see them a couple of times a year so i guess i can deal,recovering from my crazy family i love them but they ain t got it all i only see them a couple of times a year so i guess i can deal,positive
funny,funny,positive
listening to some house music what else i got a gig in san francisco next friday be there details on my,listening to some house music what else i got a gig in san francisco next friday be there details on my,neutral
suck,suck,negative
glad,glad,positive
work at one sucks i miss happy hour,work at one sucks i miss happy hour,negative
d the problem i had of doing it all myself good idea,d the problem i had of doing it all myself good idea,neutral
now i know why it didn t work just not too keen on paying though for a ndary social network,now i know why it didn t work just not too keen on paying though for a ndary social network,neutral
test discovery just missed being in py,test discovery just missed being in py,negative
downside though is that you re breaking the thread,downside though is that you re breaking the thread,neutral
wo coffiees to go pleaz,wo coffiees to go pleaz,neutral
died,died,negative
i do not want it to be over,i do not want it to be over,negative
congratulations,congratulations,positive
oh no need to stop i could use the ego boost,oh no need to stop i could use the ego boost,neutral
nice,nice,positive
just chillin in pjs after a short but long week why is someone continually knocking at my door,just chillin in pjs after a short but long week why is someone continually knocking at my door,neutral
thanks,thanks,positive
sorry,sorry,negative
coming to the end of my vacation,coming to the end of my vacation,neutral
d happy,d happy,positive
loving,loving,positive
i really want to see you guys,i really want to see you guys,positive
i want noms,i want noms,neutral
you re going to feel that tomorrow or tonight coffee laxative how s the writing coming,you re going to feel that tomorrow or tonight coffee laxative how s the writing coming,neutral
ohhhh,ohhhh,negative
what happened to my feed now friend feed is just like the twitter website,what happened to my feed now friend feed is just like the twitter website,neutral
honour,honour,positive
it wasn t that good tonight,it wasn t that good tonight,negative
wants to go sit in a park but should really be painting the bathroom,wants to go sit in a park but should really be painting the bathroom,neutral
my internet just crashed i will ttytomorrow,my internet just crashed i will ttytomorrow,negative
hope,hope,positive
thanks,thanks,positive
rblpnqte i am sending one up to you i think you could use it lol rb delux,rblpnqte i am sending one up to you i think you could use it lol rb delux,neutral
morning workout sesh love life,morning workout sesh love life,positive
ultra sweet,ultra sweet,positive
sorry,sorry,negative
may the th be with you,may the th be with you,neutral
yum,yum,positive
preston stayed home and i don t know why,preston stayed home and i don t know why,neutral
s before mine hon it s one of few rules i do not break under any circumstances,s before mine hon it s one of few rules i do not break under any circumstances,neutral
good,good,positive
awesome,awesome,positive
